ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Estimez-vous être assez engagés dans la TEE ?;Quels seraient les éléments pour vous engager d'avantage dans cette voie ?;Quel(s) mode(s) de transport préconisez-vous auprès de vos employés ?;Encouragez-vous l'utilisation de transports peu polluant ?;Par quel(s) moyen(s) ?;Quelle est la source de l'énergie du système de chauffage de l'entreprise ?;Laissez-vous la lumière allumée hors des horaires de bureau ?;Disposez-vous d'un système d'extinction automatique des lumières ?;Si non, envisagez-vous d'en installer un ?;Disposez-vous de poubelles dédiées au recyclage ?;Si non, envisagez-vous d'en mettre ?;Nom de l'entreprise;SIREN;Email de la personne ayant répondu au questionnaire;Avis du client sur le questionnaire et notre démarche
1;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HARRYS;451658389;arcu@Donec.net;4
2;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHAYA GROUP;299200097;hendrerit@liberoProin.co.uk;4
3;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HASCOET ET ASSOCIES;790815286;purus@enim.co.uk;4
4;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHAYNADIS;394792923;interdum.Nunc.sollicitudin@tempusrisusDonec.org;4
5;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HASSELBAD FRANCE SAS;443937438;sapien.gravida@accumsan.org;4
6;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHEFOB;847922606;imperdiet.erat@semut.org;4
7;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HATSLAHA AIDA OPERA;439263179;mus.Aenean@inconsectetueripsum.org;4
8;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHEMEN;834209959;elit.elit.fermentum@suscipitnonummyFusce.org;4
9;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAUSSMANN AUDIT CONSULTANTS;399780329;gravida.sit@dui.ca;4
10;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHEN;342805843;consequat@miloremvehicula.co.uk;4
11;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAUSSMANN EXECUTIVE SEARCH;877877837;at@in.com;4
12;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHEN NONG;784671257;sit@pharetraQuisque.ca;4
13;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAUSSMANN SERVICES DE SANTE;410963656;Cras.pellentesque.Sed@amet.edu;4
14;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHENKUO BUSINESS PARTNERS;793577016;dolor.egestas.rhoncus@Aeneaneuismodmauris.ca;4
15;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAUT COMME 3 POMMES;831430178;magna.Lorem.ipsum@ut.ca;4
16;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHEPALI;750580243;magna@hendrerit.com;4
17;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAUTES ETUDES APPLIQUEES DU DROIT (HEAD);505099598;eu@faucibusleoin.co.uk;4
18;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHERFI SAS;785355041;odio.Nam@arcuVestibulumut.com;4
19;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAVRE TRONCHET;477855548;non.ante@sempereratin.org;4
20;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHERPA - SOCIETE DES HOTELS ECONOMIQUES DE LA REGION PARISIENNE;533866893;mauris.sagittis@aultriciesadipiscing.com;4
21;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAWAI IVRY;818689556;Pellentesque.habitant@quam.edu;4
22;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAWAII;833524713;dui@ametmetus.edu;4
23;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIGERU BAN ARCHITECTS EUROPE;499680494;accumsan@velit.co.uk;4
24;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHINETIME;531056257;diam.eu@vitaealiquetnec.edu;4
25;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAXO EXOTIQUE;802615591;egestas.ligula@telluslorem.net;4
26;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHINICHI;389005067;a@scelerisqueloremipsum.org;4
27;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAXO-BLUN;812592830;ut.mi.Duis@risusDonec.edu;4
28;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHINIE;821287810;pellentesque@bibendumullamcorper.org;4
29;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAY;790626246;nascetur@Aeneanegetmagna.org;4
30;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHINSEGAE POIRET;831558721;Duis@turpisIncondimentum.org;4
31;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAYA;790932412;dolor@pedeultrices.org;4
32;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHINZZO AND CO;853412237;pellentesque@vel.com;4
33;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAYS FINANCE;504472044;sit.amet.dapibus@tristique.ca;4
34;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIPLEADER RETURNS;452796394;tincidunt.Donec.vitae@urna.org;4
35;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAYS MEDIAS;803672310;ligula.eu@sociis.edu;4
36;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIPTON & HENEAGE;352779730;eu.ligula.Aenean@diamatpretium.edu;4
37;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAYS PHARMA TECHNOLOGY CONSULTING;433919834;at.arcu@enim.org;4
38;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIRO;851638882;nisi@pellentesque.ca;4
39;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HAZA;808326839;vestibulum.nec@ante.com;4
40;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIRYU;433174182;magnis@Proinsed.com;4
41;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HB 75;753435676;Cras.pellentesque.Sed@Innec.edu;4
42;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIVA GROUPE;411107402;in.felis.Nulla@Pellentesquehabitant.com;4
43;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HB DIFFUSION;328896501;iaculis.lacus@Duissitamet.net;4
44;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHIVAS;530971399;posuere.at@tempordiam.ca;4
45;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBA;419607007;Duis@fringillapurus.co.uk;4
46;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOC;477950562;Pellentesque.habitant@musProin.co.uk;4
47;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBC LEGAL;38891867;laoreet.libero@Donecluctusaliquet.edu;4
48;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOJI HOME;352369656;leo.elementum.sem@ametmassaQuisque.edu;4
49;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBE;424005320;porttitor.vulputate.posuere@Sedeu.ca;4
50;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOP IN STORE;839932696;arcu.Nunc.mauris@arcuiaculisenim.ca;4
51;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBH COMMUNICATION;453741498;in@Donectempus.com;4
52;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOP SOUVENIRS;316917392;pharetra@orcilacus.com;4
53;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBHM;499824290;Pellentesque@vehiculaaliquet.ca;4
54;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHORTLINKS;521821447;quam.a.felis@Sedcongue.org;4
55;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HBL CONSEIL;413914193;dui.semper@molestiedapibus.edu;4
56;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOVO PARVEZ;441975133;semper@netusetmalesuada.ca;4
57;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HC;819666249;amet.faucibus.ut@lectusNullam.net;4
58;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOWROOM 11 ROYALE;505032094;ac.risus.Morbi@sitamet.co.uk;4
59;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HCH 588;38884110;diam.vel.arcu@tempusscelerisque.net;4
60;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHOWROOM BLB;804451342;amet.lorem.semper@tristique.co.uk;4
